Wavelength (nm),Current (A)
1520,6.4036e-05
1521,5.5092000000000014e-05
1522,5.6620000000000003e-05
1523,6.689200000000001e-05
1524,6.7076e-05
1525,6.6536e-05
1526,6.6548e-05
1527,6.335999999999999e-05
1528,6.822000000000002e-05
1529,5.2228e-05
1530,6.657600000000001e-05
1531,6.6968e-05
1532,7.6444e-05
1533,7.110000000000001e-05
1534,6.8964e-05
1535,7.6184e-05
1536,6.5712e-05
1537,7.300000000000001e-05
1538,5.831200000000001e-05
1539,6.1108e-05
1540,6.5456e-05
1541,7.702000000000002e-05
1542,6.4792e-05
1543,6.6348e-05
1544,6.7648e-05
1545,6.1284e-05
1546,7.3976e-05
1547,7.8372e-05
1548,6.060800000000001e-05
1549,7.229599999999999e-05
1550,6.229199999999999e-05
1551,6.6652e-05
1552,6.071200000000001e-05
1553,5.9720000000000004e-05
1554,6.0272e-05
1555,6.1556e-05
1556,7.3396e-05
1557,5.7308e-05
1558,7.156800000000002e-05
1559,6.918400000000001e-05
1560,7.9408e-05
1561,7.0072e-05
1562,5.6312000000000006e-05
1563,6.232e-05
1564,7.225200000000001e-05
1565,6.737199999999999e-05
1566,7.443200000000001e-05
1567,7.6576e-05
1568,6.9572e-05
1569,6.818e-05
1570,6.814800000000001e-05
